"Aard-wolf"," (n.) A carnivorous quadruped, (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
"Aaronic"," (a.) Alt. of Aaronical"
"Aaronical"," (a.) Pertaining to Aaron, the first high priest of the Jews."
"Baalism","(n.) Worship of Baal; idolatry."
"Baalist","(n.) Alt. of Baalite"
"Baalite","(n.) A worshiper of Baal; a devotee of any false religion; an idolater."
"Caballed","(imp. & p. p.) of Cabal"
"Caballing","(p. pr. & vb. n.) of Cabal"
"Cabal","(v. i.) To unite in a small party to promote private views and interests by intrigue; to intrigue; to plot."
"Dabbler","(n.) One who dabbles."
"Dabbler","(n.) One who dips slightly into anything; a superficial meddler."
"Dabblingly","(adv.) In a dabbling manner."
"Eager","(n.) Same as Eagre."
"Eagerly","(adv.) In an eager manner."
"Eagerness","(n.) The state or quality of being eager; ardent desire."
"Factionary","(a.) Belonging to a faction; being a partisan; taking sides."
"Factioner","(n.) One of a faction."
"Factionist","(n.) One who promotes faction."
"Gabber","(n.) One addicted to idle talk."
"Gabbled","(imp. & p. p.) of Gabble"
"Gabbling","(p. pr. & vb. n.) of Gabble"
"Habitat","(v. t.) Place where anything is commonly found."
"Habitation","(n.) The act of inhabiting; state of inhabiting or dwelling, or of being inhabited; occupancy."
"Habitation","(n.) Place of abode; settled dwelling; residence; house."
"Iambuses","(pl. ) of Iambus"
"Iambus","(n.) A foot consisting of a short syllable followed by a long one, as in /mans, or of an unaccented syllable followed by an accented one, as invent; an iambic. See the Couplet under Iambic, n."
"Ianthinae","(pl. ) of Ianthina"
"Japan","(a.) Of or pertaining to Japan, or to the lacquered work of that country; as, Japan ware."
"Japanned","(imp. & p. p.) of Japan"
"Japanning","(p. pr. & vb. n.) of Japan"
